time (hours),rep1,rep2,rep3,organism,genid
0,711447.7306,698618.9103,706838.9844,H,ehux379
2,935893.2142,950960.6729,881367.7798,H,ehux379
4,1781296.773,1904423.125,1830459.311,H,ehux379
6,2605035.233,2801525.29,2730783.777,H,ehux379
8,3880042.736,3840863.961,3825724.924,H,ehux379
10,5327988.18,5372747.381,5105415.236,H,ehux379
12,4383543.497,4804645.314,4414688.267,H,ehux379
14,5226898.534,5267827.344,5141915.369,H,ehux379
16,4331487.584,3925518.871,4695118.925,H,ehux379
18,5267105.351,5538254.896,5206546.191,H,ehux379
0,240690.589,229799.7764,231144.5416,D,sytox379
2,206274.2166,209484.6901,209867.3018,D,sytox379
4,444546.2878,484485.3341,539930.6736,D,sytox379
6,815422.2267,755757.864,749440.1086,D,sytox379
8,1023678.302,998675.4967,990895.8114,D,sytox379
10,1232841.805,1014223.977,1056837.883,D,sytox379
12,3767799.545,3681942.985,3687321.647,D,sytox379
14,4803445.23,5043389.692,5068807.339,D,sytox379
16,5310969.188,3640825.205,4888047.795,D,sytox379
18,7450278.495,7601786.442,7778928.778,D,sytox379